관광지,전체내용
인사동,"코로나로 한산한 거리입니다 : 코로나 영향으로 주말인데도 한산합니다.주말에는 차량진입금지 입니다.낮에도 볼거리가있지만 밤에도 화려한곳입니다.다양한 제품과 먹거리 액티비티가 있습니다가족,연인,친구들과 방문해도 좋습니다"
인사동,좋아요 : 프랜차이즈 화장품가게로 가득할거같았는데아직 골목골목은 살아있네요비싸서흠이지만예전인사동으로 부활하길 바래봅니다
인사동,인사동 : 안국역이랑 가까워서 구경도하고 한옥마을이랑도 가깝고 교통이 편리합니다걸어서 구경할데가 많은것같아요주말에는 많이 혼잡하네요
인사동,볼 것 없다. : 먹고 배부르면 쌈지길이나 한바퀴 돌며 소화시킨다.그리고 주변에 뭐 먹잘것도 없는데다가 있어도 비싸기만 할 뿐이다.그냥 중국인들 상대로 장사하세요.
인사동,인사동 : 예전에 비해 관광객이나 현지인이 믾이 줄어든 느낌이 있지만 여전히 정겹고 재미있는 인사동 주차가 협소하니 대중교통 추천합니다
인사동,언제나 외국사람이 많은 제일 한국같은 곳 : 외국사람들이 여행오면 꼭 들르는 곳이라죠?그만큼 유명한 곳도 많고 한데 좀 상업화 된 거리라 막상 한국인은 자주 안가게되더라구요. 하지만 이 길만을 목적이 아니 종로전체를 걸으면서  돌아다니기엔 재밌는 곳이예요. 쓰윽 한번 들러보세요!
인사동,"한번쯤 경험해봐도 좋을 곳 : 한국적인 느낌을 얻고자하는 외국인들에게 한번 쯤은 와볼만한 곳이나, 요새 너무 상업적인 가게가 많아졌고, 전통적인 특색은 사라지는 추세. 다만 전통적인 음식과 식당이 많으니 식사하러 와도 좋을 거리 ."
조계사,한국의 대표적인 조계종 사찰입니다. : 한국의 조계종을 대표하는 사찰입니다.사찰의 규모는 작으나 상징성이 있습니다.사대천왕도 동판으로 제작되어서 톡특합니다.사찰내에 아주오래된 고목이 있어서 한층더신비감을 느끼게 합니다.도심에 위치하고있어서 접근성이 좋습니다.
조계사,"서울 한복판의 대형 사찰 : 과거 유명했던 사이비 종교 보천교의 본당인 '십일전'을 인수해 개조한 절입니다. 덕분에 규모 하나만큼은 국내 최대 목조건물 중 하나. 다만, 사시사철 연등이 걸려있어 건물 전체의 웅장함을 느끼기에는 늘 부족하다는 생각이 들어요."
조계사,마음이 복잡할때는 방문 추천 : 종교가 없어도 가끔 마음이 복잡할때는 절이나 교회에 방문할 것을 추천한다. 조계사는 다양한 행사도 많이하고 차분하게 마음을 추스릴 수 있는 곳이다. 좋은 마음으로 소원을 기원하기에 좋다. 한시간 미만으로 방문하면 좋겠다.
