,리뷰
44,대부도-->일몰 일출보러가기 좋았던곳
45,대부도-->일몰과 일출을 봤는데 상당히 멋있었습니다. 그리고 숙박패키지를 많이 파는데 가격은다소 비싼감이 없지않아 있었네요 그냥 따로따로하는게 더 나을수도 숙소를 엄청 후진거 줍니다.
46,대부도-->바닷길
47,대부도-->물때 시간에 맞춰가면 바닷길이 열립니다. 갈라진 바다 사이로 걸어서 섬에 들어갈 수 있습니다. 재밌는 경험입니다.
48,대부도-->바다가 보고싶을땐
49,대부도-->서울에서 바다가 보고싶을때 당일로 다녀오기 편한 곳입니다. 다만 물때를 잘 맞춰가야 들어갈수있고 갯벌이기때문에 바다를 보러갓다 갯벌만 보고올수도 있습니다^^
50,국립현대미술관(과천관)-->아이와 어린이 미술관
51,국립현대미술관(과천관)-->예전에도 가끔씩 가던 곳인데 전시 내용이 많이씩 바뀌지도 않고 기획전을 여러가지 많이 하는 곳이 아니다. 하지만 미술관 앞 잔디와 날씨 좋은 날 앉을 수 있는 곳이 좋아서 갑니다. 저 어릴 땐 없었던거 같은데 어린이 미술관도 있어 아이와 한번 쯤 방문하기도 좋고 그림 그리는 체험공간도 있어서 아이가 좋아했네요
52,국립현대미술관(과천관)-->멋진 전시였어요!
53,"국립현대미술관(과천관)-->[세상에 눈뜨다: 아시아 미술과 사회 1960s-1990s] 전시에서 아시아의 현대, 사회참여적 미술의 역사를 볼 수 있었습니다. 서구 현대미술을 답습하여 아시아의 현실로부터 벗어난 형식주의 대신 당대의 현실을 적극적으로 반영하고 주체적인 표현 방법을 찾으려했던 것이 인상적이었습니다.전시 관람 후에는 미술관 내의 카페에서 잠시 시간을 보냈는데 쾌적했습니다."
54,국립현대미술관(과천관)-->국립현대미술관 과천관
55,국립현대미술관(과천관)-->넒은 자연 속에 있어 미술 전시도 보고 자연도 즐길 수 있어 좋습니다.주차장에서 멀으니 코끼리 열차를 타면 됩니다.월요일은 정기휴관하니 평일에 갈 때는 월요일을 피해서 가야 합니다.강추입니다!
56,국립현대미술관(과천관)-->너무 좋은 공간
57,"국립현대미술관(과천관)-->여전히 한결같은 백남준의 다다익선이 반겨주는 현대미술관!너무 좋음 분위기도 위치도, 어릴때부터 자주가던 곳이라 더 좋음"
58,국립현대미술관(과천관)-->과천현대미술관
59,국립현대미술관(과천관)-->주변에 동물원과 서울랜드가 있어서 좋습니다.입장료도 특별전시외에는 무료이고 저렴한편이예요백남준 작품은 현재 공사중이라 작동하지 않고 있어요
60,국립현대미술관(과천관)-->공사중 ?
61,국립현대미술관(과천관)-->명색이 국립현대미술관인 데 1층은 전시작품이 별로 없고 3층에서만 볼만한 전시가 이루어지고  있었다. 몇 년 전에 방문했을 때는 작품이 꽤 많았는데 어딘가 쇠락하고 있다는 느낌이 많이 드는것은 나만의 생각인가? 외국에서 온 친구를 데리고 갔는 데  이것이 국립 미술관이라고 소개하기가 좀 민망스러웠다.
62,국립현대미술관(과천관)-->조용한 미술관
63,"국립현대미술관(과천관)-->MOMA미술관 처럼 거대한 설치 미술품이 자리잡고 있고, 달팽이 관처럼 계단을 구불구불 올라가는 구조예요. 사람도 적고 입장료도 대부분 무료라 미술품을 마음껏 구경할 수 있어요 ^^"
64,국립현대미술관(과천관)-->너무 좋아요
65,국립현대미술관(과천관)-->진짜 너무 좋았어요. 상설전이나 특별전이나 작품들의 퀄리티가 높고 주말에도 도슨트 설명까지 들을수 있어서 비싸지 않은가격에 관람하기 너무 괜찮아요. 비교적 한적하고요.추천합니다.
66,국립현대미술관(과천관)-->바쁜 일상에서 벗어나 대자연을 즐기며 예술을 심미할수 있는곳
67,국립현대미술관(과천관)-->바쁜 일상에서 벗어나 대자연을 즐기며 예술을 심미할수 있는곳솔직히 안쪽 작품들은  그다지 자주 바뀌는편이 아니고 프랑스나 이태리 미술관에 비하면 너무 볼품 없지만 바깥  정원쪽에 말하는 조각상이나 잉어떼가 많은 연못에 한적하게 앉아 있으면 평화롭너무 좋다
68,국립현대미술관(과천관)-->굿!
69,국립현대미술관(과천관)-->토요일에는 9시까지. 옆에 서울랜드 때문에 오전에는 차가 많으므로 점심이후 애매한 시간에 출발하는걸 추천. 비교적 한적하여 너무 좋음.다음에 또와야겠음
70,독립기념관-->우리의 아픈역사를 돌아보자.
71,"독립기념관-->얼마나 험했을지 상상조차 안되는 일제 강점기 36년을 벗어나 광복을 맞이한 대한민국. 그 36년에 대한 기록이 보관되어 있다. 상당히 넓은 규모에 많은 내용들이 있어 느긋한 마음으로는 하루에 다 돌아보기 힘들정도의 규모일수도 있겠다고 생각된다.  그리고 많은 사람들이 잘 모르는 독립기념관 건문 뒷편으로 돌아가면 수많은 독립투사분들의 명언과 어록들이 비석에 새겨져 아주 넓게 퍼져있다. 개인적으로 이곳이 좀더 인상적이었던것 같다.  시간이 가능하다면, 그 비석들을 꼭 둘러보길 추천한다. <요약>1. 역사를 잊은 민족에게 미래는 없다. 꼭 가보자.2. 광복절, 삼일절, 어린이날 등은 방문객이 폭증한다. 이시기만큼은 피하는것이 좋다.3. 건물 뒷편으로도 많은 볼거리들이 있다. 놓치지말자.4. 가을에는 단풍나무길이 핫플이다. 꼭 가보자."
72,독립기념관-->드넓은 공간에 조성된 역사 박물관
73,독립기념관-->엄청나게 넓은 공간에 조성된 역사 박물관으로써 많은 부분이 일본으로부터의 독립과 관련된 것에 집중되어 있음.반대로 너무 넓기 때문에 돌아다니기 힘듦.
74,독립기념관-->11월 중순경 단풍나무 숲길이 정말 예뻐요
