,리뷰
175,천주교 전주교구 전동성당-->성당 건물 자체는 단촐하지만 아기자기하고 한옥마을의 필수 코스죠.  건물을 마주하고 있는곳에 순교한 분들의 글들도 있으니 한번 읽어보며 이곳 성당의 의미를 되새기는것도 좋을것 같습니다.
176,"무주 구천동계곡 방화동 가족휴양촌,-->수영금지~"
177,"무주 구천동계곡 방화동 가족휴양촌,-->수영금지 팻말도 여기 저기 보이고 8월18일 까지만 계곡에 들어갈 수 있다는 문구도 봤다.비온 뒤의 월하탄 방문은 신의 한수이다!! 해가 구름에 가릴때와 구름이 걷힐 때에 폭포수의 물 색깔의 변화는 장관이다.주차 후 조금만 걸으면 볼 수 있으니 꼭 방문해보길 권한다."
178,순천만 갈대밭-->꼭 한번 가보세요
179,순천만 갈대밭-->개절별로 다양한 느낌이 있어요. 갈대나 바다나 갯펄을 한번에 볼수가 있구요 사진 찍기도 좋으니 삼각대 가져가세요 또 가고 싶네요
180,순천만 갈대밭-->순천만이 제일 예쁠때 갔는데...
181,순천만 갈대밭-->용산전망대까지 올라가야 대한민국에서 이 시기에 가장 예쁜 일몰을 볼 수 있다. 올라가면 진짜 진짜 진짜 개이쁜데다리아작날뻔.
182,순천만 갈대밭-->꼭 한번은 가볼만 한 곳
183,"순천만 갈대밭-->순천만의 풍경은 우리나라 어디에도, 세계 어디에도 없는 곳인 것 같다. 4계절마다 분위기와 느낌이 다르니 주변을 지나간다면 꼭 가보길 권한다."
184,순천만 갈대밭-->Wellness Tourism Supporters
185,순천만 갈대밭-->웰니스 관광 서포터즈 프로그램을 통해 “순천만습지&순천만국가정원”을 방문해 한국의 자연을 느껴 봤습니다. 먼저 순천만습지에 가서 대한민국에 있는 큰 습지를 볼 수 있었습니다. 여러 데를 산책한 후 “SkyCar”를 타고 순천만국가정원으로 이동했습니다. “Dream Bridge”를 건너가 정원을 구경해 한방 족욕 체험까지 해 봤습니다. 마지막으로 여러 나라 정원들이 있는 곳으로 가서 사진도 많이 찍고 좋은 추억을 만들었습니다. 아주 즐거운 시간이었습니다!
186,순천만 갈대밭-->순천만 뻘사이로 찬란한 갈대밭을 거닐어 보기
187,"순천만 갈대밭-->순천만 습지 갈대밭 사이 데크길을 걸어서 용산 전망대까지 천천히 걸어가는 길에 쨍한 햇빛 사이로 갈대밭이 바람에 흔들리는 모습은 정말 장관입니다. 용산 전망대까지 천천히 걸어갔다 오는데 2시간 정도가 소요됩니다.하지만 주차료 3천원과 성인 입장료 8천원은 너무 과하다는 생각이 들지만, 순천만 습지 입장권으로 근처의 국가정원까지 입장이 가능하기 때문에 2곳을 다 이용한다면 괜찮은 가격으로 여겨지지만 습지만 주차료에 입장료를 지불하고 둘러보기에는 택도 없이 비싸다는 느낌에 다시는 오고싶지 않은 장소가 될 수도 있습니다."
188,순천만 갈대밭-->교수연찬회 후 지역답사
189,순천만 갈대밭-->보존이 잘된 갈대밭과 그 사이를 걸어갈 수 있는 데크가 길에 연결되어 있습니다. 서두르면 2시간 안에 끝에 있는 전망대까지 갔다올 수 있습니다.
190,순천만 갈대밭-->방문기
191,"순천만 갈대밭-->전라남도 순천의 이곳은 숯너만의 습지와 갈대숲, 장원으로 국가에서 인정한 국가정원입니다. 주변의 꼬막, 짱둥어 등 훌륭한 음식과 더불어  방문을 권합니다."
192,순천만 갈대밭-->매우 만족
193,순천만 갈대밭-->데크가 잘 되어있어서 휠체어나 유모차도 다니기 불편하지 않은 것 같아요!가볍게 갈대보면서 산책하기에 좋은 장소입니다
194,순천만 갈대밭-->정말 아름다운 곳
195,순천만 갈대밭-->미세먼지 때문에 여기의 아름다움이 다 드러나지 않는 것같아서 그게 너무 아쉬웠지만그거 감안해도 한국에도 이런 곳이 있구나. 하고 느껴질 정도로 좋은 곳입니다.많이 걸어야하기때문에 그점은 감안하셔야 할 것 같구요.게랑 망둥어들도 갯벌에서 많이보이기 때문에 도시아이들이 가면 많이 신기해 할 듯 합니자
196,순천만 갈대밭-->순천만 습지
197,"순천만 갈대밭-->순천만 연안에 위치한 습지.당일 순천만 국가정원 입장권이 있으면 바로 입장이 가능함.사람이 많긴하지만 넓게 펼쳐진 곳을 천천히 돌아보면 힐링되는 기분.해질녘에 용산전망대에서 바라보면 경관이 좋음.(단, 사람이 너무 많음)용산전망대에 가려면 1km 정도 산길을 걸어야 함."
198,용천사-->꽃무릇이 아름다운 곳
199,"용천사-->절 이름은 대웅전 층계 아래에 있는 용천이라는 샘에서 유래한다. 이 샘은 황해로 통하며 용이 살다가 승천했다는 전설이 전한다. 645년(의자왕 5) 각진이 중수하고, 1275년(고려 충렬왕 1) 국사 각적이 중수하였다. 조선시대에 들어서도 세조와 명종 때 중수하여 큰 절로 성장하였다. 1597년(조선 선조 30) 정유재란 때 불에 탄 것을 1600년(선조 33) 중창하였고,1632년(인조 10)에는 법당을 새로 지었다.1638년(인조 16)과 1705년(숙종 31)에 중건 하고, 1938년에 중수했으나 1950년 6·25전쟁 때 모두 불에 타 없어졌다. 1964년에 금당이 옛 보광전자리에 대웅전을 새로 세우고, 요사채도 지어 절의 면모를 바꾸었다.1996년에 대웅전을 중수하여 오늘에 이른다."
200,용천사-->쾌적하고 화려한 사원
201,"용천사-->FINA 월드 마스터스 수영 선수권 대회의 일환으로 함평 엑스포 공원을 방문하고 용천사를 방문했습니다. 죽은 승려의 작은 탑을 지나서 300 야드 정도 걸어 간 후, 우리는 여러 건물의 사원 단지에 도착합니다. 여기서 당신은 소원을 만들고, 리본에 작은 기부를하고, 성전에 매달고 가능한 행운을 기다립니다. 그것은 사원 색이 많은 예쁜 언덕이 많은 숲에 자리 잡고 있습니다. 머무는 동안 승려가 종을 울렸다."
202,계림-->방문 계절을 꼭 따져서 가세요
203,계림-->저는 2월에 갔더니 앙상한 가지뿐이었습니다. 3월 이후부터 11월까지 가시면 좋을거같다는 생각이 들었습니다. 그래도 산책용 코스로 나쁘지않았습니다.
204,계림-->풀냄새 나무냄새 맡으며 산책하기 좋은 곳
205,계림-->버스투어를 하면 들리는 구관 중 하나입니다. 그냥 찾아가기도 쉬워요. 오랜 나무들과 풀과 흙의 냄새를 맡으며 산책할 수 있는 곳입니다.
206,계림-->운치있고 아름다워요
207,계림-->첨성대 가는 길에서 갈라져 석빙고 가는 길목에 있어요. 소나무들이 아름답게 자리를 지키고 있는데 정말 아름다운 곳입니다.신라 김씨 임금의 시조가 태어난 곳이라 하여 시림이라 하였는데 옆에 흰닭이 울고 있어서 계림이라 이름하였대요.걷다보면 길끝에 보이는 능이 더 운치를 더해줍니다.
208,계림-->계림
209,"계림-->교촌마을에서 첨성대 방향으로 가면서 산책했는데, 울창한 숲속을 거니는 기분이 상쾌합니다. 밤에는 조명이 들어와 밤산책도 좋습니다."
210,계림-->계림
211,계림-->가을에만 좋은 줄 알았지 여름에도 이렇게 좋을줄이야…계림안에는 나무그늘 덕분에 더운것도 잠깐 잊게 해줬어요. 작은 개울에는 물고기도^^
212,계림-->기대보다 훨씬 좋았던 곳
213,계림-->가을 아침 계림 산책했을때 상쾌하고 맑은 숲내음에 에너지가 충전되는 기분이었음..30분 내외로 충분히 돌아볼 수 있는 곳이라 근처 첨성대 구경하고 잠시 쉬어가도 좋을 곳...숲에 들어오면 또 다른 세계가 있는듯신비하고 고즈넉한 매력이 있는 곳이었다.
214,계림-->밤에 보면 아름다운 곳
215,계림-->겨울에 방문해서 추운 날씨에 계림의 낮 모습은  앙상한 나무가지가  조금 무섭게보이기도 합니다.하지만 밤에본 계림은 조명의 힘으로 아름다운 모습으로 눈길을 잡아 멋있습니다!
216,계림-->멋진 나무 멋진 길
217,계림-->계림의 나무들을 구경하는 것만으로도 가볼만 하다. 울창한 소나무 숲과 그 안을 걸어가는 것은 마치 타임머신을 타고 과거로 돌아간 느낌. 공기마처 상쾌해서 산책하기 딱이다.
218,계림-->산책하기 좋은곳
219,계림-->경차가 아름다워서 산책하기가 정말로 좋은거 같아요. 첨성대랑 가까워서 가는길에 둘러보고 오시면 될꺼 같아요
220,계림-->산책하기 참 좋아요.
221,계림-->밤산책을 다녀왔는데 참 좋았어요. 사람도 얼마없어서 조용하게 데이트하기 너무 좋았어요. 음식점들이 꽤 있던데 낮에도 한 번 방문해보고싶어요.
222,금오산-->구미에서 갈 수 있는 높은 산
223,"금오산-->구미에서 갈 수 있는 높은 산. 그냥 높은 산일 뿐 아니라 바위산이자 흙산인데, 그래서 꺾어지는 절벽의 수려한 경치도, 푸르른 그리고 단풍이 덮힌 풍경도 볼 수 있는 것이 매력"
224,금오산-->금오산정기
225,금오산-->어수선한 시기에 신성한 정기를 내려주시길 기원하며...미세 먼지와 속세먼지를 같이 털어 낼수 있느곳간단한 등산코스 부터 힘든 칼바위코스까지선택가능
226,금오산-->구미에서 하이킹하고 힐링하기 좋은 곳!
227,"금오산-->고향이라 가끔 가는데, 금오산 등반은 항상 휴식과 힐링을 주는 시간으로 여겨집니다. 저수지 부근에 산책로가 잘 조성되어서 걷기도 좋고 케이블카가 있어서 걷기 싫다면 올라가서 도립공원의 아름다움을 만끽할 수 있는 곳입니다."
228,금오산-->하이킹
229,금오산-->최초의도립공원이며맑은공기신선한바람케이블카  가있으며 대혜폭포 도볼수있다 한참걸어가다 보연 암자도나온다 아름다운도립공뭔이다
230,금오산-->구미에 갈만한 곳이 있다면 바로 이곳
231,금오산-->구미에서 갈 곳을 묻는다면 첫번째가 금오산인듯...?일단 저수지부근에 산책로를 너무 잘만들었고 근처 밥집이나 카페도 많이 있음 ㅎㅎㅎ 흠이라면 많은 사람들이 여기에 모여서.....
232,금오산-->산책하기 좋은곳
233,금오산-->금오산 등산까지는 힘들어도 어느정도 체력이 될때까지만 올라가면서 산책만 해도 충분히 금오산을 느낄 수 있습니다. 내려오실때 스타벅스 쪽으로 내려오시면 호수도 볼 수 있고 (호수 한바퀴 데크 산책가능) 맛있는 식당들도 많아요
234,금오산-->등산하기 좋다
235,금오산-->험하지 않아 초보자들도 쉽게 산행할 수 있는 곳이다. 가을철에 단풍이 들면 빼어난 경관을 자랑한다.
236,금오산-->구미의 명산 금오산 도립공원
237,금오산-->우리나라를 대표하는 산업도시중 하나인 구미를 대표하는 금오산 도립공원입니다. 겨울에도 쉽게 올라갈수 있는 산으로 한번쯤 등정할 만 합니다.
238,금오산-->간단하게 산행하기에 좋습니다
239,금오산-->케이블카도 있고 가족들이랑 연인들이랑 같이 산행하기에 좋습니다 폭보 까지 는 무난하게 어린이도 무난하게 올라갈수있습니다
240,금오산-->구미 사람들의 쉼터
241,"금오산-->금오산 입구 저수지를 연인끼리 걸어도 좋으며, 중턱에 있는 폭포도 상당히 운치를 자극하며 좀더 올라가 꼭대기에 다다르면 뒷쪽에는 낙동강 앞으론 구미 시내가 한눈에 보이는데 그 경치가 장관입니다. 구미 사람들이 아니더라도 꼭 한번 가보세요 추천합니다."
242,빙계계곡-->Binggye Valley
243,빙계계곡-->It is famous for being one of the most beautiful places in North Gyeongsang Province.The rainbow bridge welcomed me together with the cool breeze through the valley of the rock cliff. We had a lot of fun today.
244,군위 삼존석굴-->The spirit of Buddhism carved in the middle of a cliff
245,"군위 삼존석굴-->Located at Mt. Palgong in Gunung-gun, Gyeongsangbuk-do,  Three Buddhist statues are carved in a natural cave measuring 4.25 meters wide and 4.3 meters long, 20 meters above the ground.It was built in 493 in the Shilla Dynasty, and it was designated as National Treasure No. 109 as the birthplace of Gyeongju Seokguram, which was made of artificial caves."
246,군위 삼존석굴-->Monumental
247,"군위 삼존석굴-->The Buddha statu and the grotto  are impressive, so many years and cultures building up this religious and historical place! The statue is is carved in granite and it is perfect. Visit it, take a moment of silence and a deep breath"
248,군위 삼존석굴-->Самая почитаемая статуя Будды в Корее
249,"군위 삼존석굴-->Было довольно интересно добираться до статуи, спрятанной в гротте по живописной дороге. Сама статуя находится под калпаком и смотреть на неё можно только через стекло. С этого места потрясающий вид"
250,주남저수지-->산책하기 좋은곳
251,"주남저수지-->철새구경과 산책하기 좋은곳이에요!!!주차장도 곳곳에 넓~구요다만,갔던길을 다시 돌아와야하는 단점이 있어요주로 데이트할때 많이 갔었는데,이번에 유아동반 가족과 같이다녀왔는데 만족도가 높앗습니다"
252,주남저수지-->가을에 특히 방문하기 좋은 곳
253,주남저수지-->철새들을 만날 수 있는 곳으로 여유있게 시간 보내기 좋습니다. 인근에 괜찮은 카페들도 있으며 주차공간도 넓습니다.다만 한바퀴를 돌수는 없고 갔던 길을 되돌아와야 한다는 점이 아쉬운 곳입니다
254,주남저수지-->창원시 한적한 습지
255,주남저수지-->철새를 많이 볼 수 있는 창원의 습지이다. 사람들도 많지 않고 한적하게 산책을 할 수 있는 곳이다. 망원경 등을 구비해서 방문하면 좋을 것 같다
256,주남저수지-->철새가 가득한 곳
257,주남저수지-->한적하고 좋으며 생태관련 설명을 들을려면 인터넷 사전예약 가능함. 도보로 다녀야 하며 망원경을 들고 오면 여러 종류 철새 관람 가능함
258,주남저수지-->가족 나들이로 좋아요
259,주남저수지-->여름이면 연꽃 가을이면 코스모스가족 나들이로 아주 좋아요저수지 주위로 데크도 잘되어 있어서유모차 끌기도 좋았어요
260,주남저수지-->주남저수지
261,주남저수지-->가족끼리 가까운곳에 나들이 가고 싶을때 추천해요연인이나 친구들끼리 사진찍기에도 좋구요주변에 주남오리궁 맛있으니까 추천해요
262,주남저수지-->주남저수지에 가서 할 게 없어요. 잘 보이지도 않아요
263,주남저수지-->저수지 주변이 갈대? 가 높게 있어서 안이 잘 보이지 않아요.가서 뭘 해야 되는 지 모르겠어요.주남 저수지 주변으로 걷다가 뚫린 곳이 있으면 그 창을 통해서 저수지를 바라보는데요.. 그거 말고는 거기서 뭘 해야하죠?
264,주남저수지-->생태 저수지
265,주남저수지-->생태관광이 가능한 주남저수지 입니다.창원에 속해있지만 한적하고 산책하고 정말 좋아요.철새 관찰하기에도 최적의 환경이죠.가을되면 더 멋있어요.
266,주남저수지-->주말에
267,주남저수지-->주말에 집에만 있기 심심해서 드라이브 갔다가 우연히 들린곳!진짜 큰 새들이 날아다니는 모습에 놀랬다.한두마리가 아니고 수백마리가 모여 있는데…정말 멋진 모습이었다.가까운곳에 이런 곳이 있어 행운이다.
268,주남저수지-->좋아요.
269,주남저수지-->바람쐬러가기도 좋고...데이트하러가기도 좋아요자가용으로 20분내외로 가기 좋아요가는길에 식당과 커피숍들도 좋아요.
270,청곡사-->일본 방문객의 안내를 위해서
271,"청곡사-->일본에서 오신 분이청곡사를 구경하고 싶다기에,청곡사까지 데려 드리고,난 주차장 옆 매장에서 라면으로 식사하고그 분을 청곡사 구경 후,다시 집으로 온 기억"
272,고성 탈박물관-->그린카드 있으신가요?
273,고성 탈박물관-->이런 탈도 있었나 할정도로 굉장히 많은 탈이 있었어요! 입장료는 2000원이었고 만들기 체험도 할수있어서 아이들과 함께 하면 좋을것같아요~! 아 그린카드가 있다면 무료입장이 가능합니다!
274,고성 탈박물관-->경남 및 남부 탈의 집대성
275,"고성 탈박물관-->국내의 탈을 모은 박물관입니다.많은 탈이 나무탈, 종이탈, 박탈 등으로 나누고 또 시대별로도 전시되어 있어 보기에는 괜찮네요.고성오광대, 수영야류, 동래야류, 진주오광대, 기산오광대 등 경남 부산 위주의 탈이 전시되어 있습니다.다양한 탈이 전시되어 있어 좋긴 하지만, 오광대와 야류 동영상 같은 것이 영상실에서 월별로 상영되었으면 더욱 좋았으면 생각했습니다.2층에서는 탈만들기 체험도 합니다. 칼라 클레이로 만드는 체험은 아이들이 좋아합니다. 참고하세요.다른 체험도 있는 것 같은 데, 저희가 간 날에는 안 하더군요."
276,임진성-->임진성
277,임진성-->임진왜란이 발발하고..충무공 이순신장군이 거제도 옥포에서 큰 승리를 이끌자왜놈들이 복수하기 위해 다시 옥포로 진격한다는 소문이 돌았다고 합니다그 소문을 들은 남해 옥포 사람들이이살짝~~~ 착각을 하고언능 산성을 쌓게 되는데 그것이 임진성이라는 이야기...규모는 둘레가 대략 300미터..작은 산성입니다.동문입구까지 차가 갈 수 있어서한바퀴 돌며 경치를 구경하고또 옛 사람들을 생각하면서사색할 수 있는 곳입니다.
278,임진성-->경치가 매우 좋아요
279,임진성-->남해는 경치가 좋지 않은곳이 없겠지만 여긴 정말 경치가 좋았어요. 올라가는 길이 좁고 눈에 띄지 않는 곳에 있어서 못찾을 수 있지만 굉장히 좋은 곳이었어요. 차로 가서 둘러보고 내려왔지만 바래길을 따라 걷는 코스로 가는 것도 좋을 것 같아요.남해 힐튼과 멀지 않은 곳에 위치하고 있고 경상남도 기념물 제20호(1974.12.28 지정)라네요.
280,다랑쉬오름-->근처에있어 갔는데...
281,다랑쉬오름-->좋긴좋아요.다만 계단이 너무많아 힘들었어요.올라가면 날좋은날에는 멀리 다 보여서 좋네요. 굳
282,약천사-->시원하게 제주에서 갈 수 있는큰 절
283,약천사-->약천사 아는지인이 불교라 이곳을 추천하니 엄청좋아했다. 날씨가 26도로 좀 더운 편이었는데 사찰은 시원하고 고요했다. 절도 엄청 크고 높아서 웅장했다. 하지만 안에서 관리하는 여자분 두분은 친절하지 않았다.  열체크를 하고마스크를 쓰라고했고 안에서는 너무편한 자세로 있지 말라고했다. 지인은 여기서 108배 절하고 왔다.  귤나무가 있어서 가는길마다 귤냄새가 향기롭고 상큼했다. 제주돌하루망이 있어서 제주도느낌도 나고해변가 근처라 사찰에서 바다가 보였다.
284,약천사-->신기한 건축양식의 약천사
285,"약천사-->이 절은 우리나라의 일반적인 건축양식과는 달라보입니다. 굉장히 웅장하며 , 안에 들어가서 2층으로 올라가볼 수도 있습니다. 개인 차가 있다면 한번 쯤 가볼만 한 곳입니다."
286,약천사-->제주도 대표 사찰 중 하나
287,약천사-->서귀포에 위치한 제주도를 대표하는 사찰 중 하나인 약천사입니다. 건물 하나가 사실상 전부지만 어마어마한 규모. 그 규모 하나 보러 잠깐 가도 꽤 괜찮은 수준
288,약천사-->제주도의 사찰
289,약천사-->고지넉한 산중의 사찰이 아닌 제주 관광지 주변에 위치하는 사찰이라 그런지 느낌이 다르다.사찰을 제외하고는 볼 만한 것은 없어 템플 스테이 참가하지 않는 한 굳이 찾아가서 볼 것은 아닌 것 같음.
290,약천사-->나하반냐~반야심경... 불교밥 먹고 싶은 사람 모여라!!!!!!!
291,약천사-->안녕하세요 제주 맛집전문가입니당!!!!!오늘은 약천사를 가보았어용~~♡부처님께 기도하고 밥도 먹고 우리애는 사진찍는라 바쁘내용;;그래도 우리 엄마아빠가 사이좋게 손잡고 있으니 넘 행복 한것\^_^/불교가 아니더라도 가서 안좋은건 없으니깐 가보시귈~~~~~😎
292,약천사-->뭔가 관광지 같은 절
293,약천사-->사찰의 규모와 입구의 돌하루방 주변의 야자수와 귤나무로  사찰이지만 외부인이 보기에는 관광지 같은 느낌이다.템플 스테이릉 하는 것 같으니 외국인에게 체험을 위해 추천하는 것은 어떨지..
294,약천사-->아주 큰 법당과 귤나무가 가득.
295,"약천사-->대웅전이 엄청나게 크고, 모셔진 불상도 엄청나게 큼. 조용한 산책코스로 아주 좋음. 나무마다 노란 열매가 주렁주렁 달려 있어 인상적이었슴,"
296,약천사-->한적하고 너무 좋아요
297,약천사-->한적하고 좋아요.나무로 다 조각한 벽화가 일품입니다.주차가능합니다. 근처에 한라봉 농원도 많아서 체험가능할 듯해요. 한가하게 산책하고 싶은분들 추천해요
298,약천사-->여긴 꼭 가보세요!
299,약천사-->숙소 바로 앞이라서 가봤는데 완전 크네요..제가 봤던 절 중에 제일 큽니다..규모에 놀라고 안에 들어갔을때 내부를 보고 놀라고..꼭 가보셔요
300,약천사-->제주도 갈 때마다 들리는 절
301,"약천사-->크기도 크고 한적하니...유유자적하기 좋음. 간혹 스님이 북을 치는 것도 볼 수 있는데, 공연을 보는 듯한 느낌이 새로웠음. 화장실도 깨끗, 주차공간도 넓고~"
302,제주 올레-->걷기좋은길
303,제주 올레-->예전에는 박물관이나 관광지 위주로 다녀서올래길이 예쁜줄몰랐는데아무생각없이 바다를 보며 걸으니 너무힐링되고좋네요개인적으론 5코스가 좋았어요
304,제주 올레-->차귀도올레길
305,"제주 올레-->차귀도 올레길을 걷고 싶어 오랜만에 탐방 배타고 10분, 둘레길 1시간 정도 둘러보고 배타고 해변가도 보고 즐감하세요 섬속의 섬에서 한라산 정상 볼수 있을까요 사방산도 보고 기상대도 보고 푸르른 바다 차귀도 등대 장군바위 독수리바위 순간 포착 찰칵^^♡"
306,제주 올레-->나의 삶을 바꾼 올레길
307,제주 올레-->7년전 아주 힘들었던시절 올레길을 걸으며 마음을 달래고 힘을 얻게 되었습니다.풍광은 말할것도 없이 좋았지만 인심도 좋고 아름답게 이어진 길을 걸으니 기분이 자연스럽게 좋아졌었죠.이번에 다시와 예전에 왔던 코스를 다시걸었는데 역시 변함없이 좋고 마음이 가벼워졌습니다.여러분 제주도에 수만은 관광지가 있지만 마음을 웃게해주는곳은 흔하지 않습니다.올레길!  꼭 하나의 코스라도 마음을 비우고 돌아보세요~~^^
308,제주 올레-->올레길
309,제주 올레-->제주 올레길중 금모래해욕장에서 시작해 용머리해변까지 걸었는데 길에 개똥이 너무 많아서 땅만 보고 걸었습니다제주 사시는 분들 개 산책시키면서 꼭 개똥 치우세요
310,제주 올레-->공항 주변에 있는 아름다운 산책로
311,제주 올레-->공항 옆에 해안가를 따라 산책할 수 있는 길과 해안도로가 있는데 이곳에서 매우 아름다운 제주도의 바다를 볼 수 있다. 비행기를 좋아하거나 비행기 사진을 찍기 좋아하는 사람이라면 공항 옆에 있는 산책로도 있는데 그 길을 따라가다보면 비행기를 매우 가까이 볼 수 있는 곳을 발견 할 수 있다.
312,제주 올레-->산책하기엔 최고네요.
313,제주 올레-->이 길을 따라 제주도 일주를 할수 있다고 하니 놀랍습니다.초보자 코스부터 고급자 코스가 나눠져 있어 더욱 좋네요.경치 진짜 이쁩니다. 길도 잘 정리되어 있네요.중간중간 맛집과 숙소들이 있어 숙식 해결도 가능하네요.
314,제주 올레-->너무이쁜길!
315,제주 올레-->길이너무너무이뻐요 ㅎㅎ 산책하기딱좋아요^^^^^몇몇길은 보도블럭 시공하시던데 ㅠㅠ수고많으세요
316,제주 올레-->제주도의 진면목을 알 수 있는 좋은 트레일
317,"제주 올레-->제주도를 한 바퀴 돌 수 있는 한국 최고의, 최대의 트레일입니다. 메인 코스는 총 21개이며 그외에 부수적인 걷기 코스가 몇 개 있습니다. 제주도의 몇몇 명소만을 보는 여행 대신 산, 바다 밭, 여러 제주도의 풍경을 오롯이 느낄 수 있습니다. 스탬프를 받을 수 있는 패스포트가 있으며, 각 코스의 시작점, 중간점, 종점에 스탬프를 찍는 곳이 있습니다. 6,7,8코스가 가장 유명하며 이 코스만을 걷는 사람들도 많습니다."
318,제주 올레-->걷기좋은 제주올레길
319,제주 올레-->잘 조성해 놓은 길이라 산책하기 좋아요. 초보자코스부터 고급자코스까지 있기 때문에 선택해서 걸으시길.길 따라 맛집과 숙소가 있어서 골라서 다니시면 될 것 같아요.
320,제주 올레-->올레 여권이 있어요
321,제주 올레-->공항에서 발급받을 수 있는 올레 여권을가지고 1번길부터 차례로 다녔습니다. 스탬프를 곳곳에서 찍으면서 좋은 추억을 안고 왔네요. 제주의 참 모습을 느낄 수 있는 올레길을 걸으시면서 좋은 추억 많이 쌓아보세요.
322,월드컵공원-->넓은 호수와 주차장
323,"월드컵공원-->아이들과 함께 놀러 가기 좋은 공원입니다.물고기가 있는 넓은 호수도 있고, 여러 가지 정원과 놀이터도 있습니다.놀이터에는 도르레 달린 줄에 매달려서 갈 수 있는 놀이기구와 미끄럼틀, 모래놀이터도 있습니다."
324,월드컵공원-->마라톤 장소로 굿
325,월드컵공원-->주차장도 넉넉한 편이고마라톤 행사 치르기 좋네요월드컵 공원 다니는 전기차도 있고나들이하기 적당한 곳인듯광장도 넓고 산책길도 좋습니다먹거리가 조금 아쉽~
326,월드컵공원-->여러 공원의 복잡한
327,월드컵공원-->이것은 5 개의 다른 공원으로 구성된 거대한 공원입니다. 박 한울이 그중 하나입니다.방문하고 차가워서 좋습니다. 그러나 그 위치는 서울 중심에서 상당히 멀다. 대부분의 방문객은 근처에 사는 사람들입니다.Haneul Park는 10 월 불꽃 잔디 축제 기간 동안 정말 붐 빕니다.
328,월드컵공원-->내 친구들 중에 좋은 Chirldren의 날
329,월드컵공원-->나는 아이들과 함께 즐거운 시간 보내고 친구들과 함께 갔다. 우리는 피자를 먹고 풀밭에 머물렀다. 나는 한국에있는 공원을 사랑하기 때문에 머물 수 있고 거기에서 먹고 게임도합니다. 좋은 날씨와 좋은 모험!
330,월드컵공원-->아이들과 놀기 좋은 공원
331,"월드컵공원-->이 곳은 거대하고 많은 사람들이 접근 할 수 있습니다. 공원의 이름은 혼란 스럽지만 잘 연결되어있어 난지 한강 공원 (평화 공원, 평화 공원)을 비롯한 공원으로 걸어 갈 수 있습니다. 유아와 큰 아이들을위한 놀이터가 있습니다. 작은 사슴을 먹이기위한 장소, 뛰어 다니는 큰 풀밭, 주변 경치를 즐길 수있는 많은 장소가 있습니다. 가족에게 적극 권장됩니다."
332,월드컵공원-->마포구의 공원에서 놀다.
333,"월드컵공원-->이것은 날씨가 좋을 때를 진정시키기에 완벽한 장소입니다. 사진의 배경이 될 수있는 다양한 테마 가든이 많이 있기 때문에 사진을 찍는 것이 가장 좋습니다. 거기에 ""모래""놀이터가 있습니다. 배고프지 만 레스토랑과 편의점도 있습니다. 월드컵 공원 옆에는 할물 공원이 있습니다. 월드컵 공원에 가면 반드시 방문해야합니다."
334,월드컵공원-->걸어서 주변에 좋은
335,월드컵공원-->우리가 월드컵 경기장 근처에 있는 스카이파크 로 이어지는 계단도 있다. 우리는 좋은 걷는 것이 매우 즐거운.
336,대한민국 국회의사당과 헌정기념관-->국회근처의 헌정 기념관
337,대한민국 국회의사당과 헌정기념관-->도쿄 국회의사당 근처에 위치한 헌정기념관. 1970년에 일본 의회 개설 80년을 기념해서 1972 년에 지어졌다고.내부에는 의회와 관련된 설명과 전시내용이 대부분.
338,산사원-->가족과 함께 하기 좋아요.
339,산사원-->느린마을이라는 테마처럼 천천히 걸으며 아이들과 전통주에 대한 이야기도 나눌수 있고 시음행사도 하고 있어 매우 유익한 시간이였어요.
340,산사원-->시음할 수 있는 술박물관
341,산사원-->마시고 즐기고 사진찍기 좋은 술박물관입니다 입장료를 내면 다양한 술들을 시음해 볼 수 있고 막걸리도 한병씩 무료로 줍니다.
342,산사원-->막걸리 좋아하시는분들에게 강추
343,산사원-->박물관입장은 유료인데 배상면주가의 술들을 시음해볼수 있고 나갈때 막걸리 1병씩 줘요. 시음은 5시 10분까지만 가능하다고 합니다.
344,산사원-->다양한 술을 시음할수 있는 곳
345,"산사원-->서울 근교에 있어 방문하기 부담없는 거리라 좋습니다.입장료를 받지만, 관람을 마치고 나올때 막걸리를 1병씩 줘서 입장료가 전혀~~ 아깝지 않습니다.여름에만 맛볼수 있는 아이스술(?)이 있어서 특이했습니다.다양한 탁주,약주,과실주 등등 종류별로 볼수 있고, 시음해볼수 있어서 정말 좋습니다.간단한 간식거리(과자,식빵 etc ) 같이 제공해 주셔서 좋았습니다^^"
346,산사원-->가족끼리 갈만한 곳
347,산사원-->술을 시음할 수 있어요. 생산사춘 맛있고요. 간단한 안주도 있고요. 사진 찍기 좋은 정원도 있어요. 술 역사를 알 수 있고 이것저것 얘기할 게 많아지는 곳 입니다
348,산사원-->산사원
349,"산사원-->다양한 배상면주가의 술들을 시음해볼 수 있고, 술 구입도 가능합니다. 야외에 술독과 술 만드는 곳 구경도 하고, 산책하기에도 좋습니다."
350,산사원-->술 좋아하는 분들의 천국임!
